Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Dokumente\Git\Fusee_Fork\src\Engine\Imp\__Legacy\Lidgren\Properties,1,37,15,3,0,5,0,17,111,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Imp\__Legacy\OpenTK,12,4283,2799,1686,425,472,6,1012,5379,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Imp\__Legacy\OpenTK\Properties,1,37,15,3,0,5,0,17,111,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Imp\__Legacy\SFMLAudio,4,403,245,121,24,51,0,107,596,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Imp\__Legacy\SFMLAudio\Properties,1,37,15,3,0,5,0,17,111,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\LinqForGeometry,19,2223,1289,691,113,240,17,694,3908,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\LinqForGeometry\LinqForGeometry.Core,17,1968,1144,624,101,211,16,613,3362,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\LinqForGeometry\LinqForGeometry.Core\src,16,1940,1133,622,101,203,16,604,3291,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\LinqForGeometry\LinqForGeometry.Core\src\Exceptions,1,17,11,5,0,3,0,3,13,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\LinqForGeometry\LinqForGeometry.Core\src\Handles,7,353,140,63,7,38,7,175,892,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\LinqForGeometry\LinqForGeometry.Core\src\Importer,2,263,188,106,23,25,3,50,248,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\LinqForGeometry\LinqForGeometry.Core\src\PtrContainer,4,112,43,23,0,9,4,60,302,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\LinqForGeometry\LinqForGeometry.ExternalModules,2,255,145,67,12,29,1,81,546,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\LinqForGeometry\LinqForGeometry.ExternalModules\Properties,1,37,15,3,0,5,0,17,111,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\LinqForGeometry\LinqForGeometry.ExternalModules\Transformations,1,218,130,64,12,24,1,64,435,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\SceneViewer,11,1045,734,460,61,145,2,166,1102,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\SceneViewer\Android,5,534,376,230,33,80,1,78,479,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\SceneViewer\Android\Properties,1,24,12,3,0,3,0,9,71,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\SceneViewer\Android\Resources,1,91,56,26,0,21,0,14,50,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\SceneViewer\Core,2,309,222,160,16,42,1,45,377,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\SceneViewer\Core\Properties,1,31,15,4,0,3,0,13,67,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\SceneViewer\Desktop,2,98,64,35,4,12,0,22,125,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\SceneViewer\Desktop\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\SceneViewer\Web,2,104,72,35,8,11,0,21,121,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\SceneViewer\Web\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Tests,3,492,312,173,9,83,3,97,356,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Tests\Math,1,122,78,49,3,32,3,12,50,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Tests\Math\Core,1,122,78,49,3,32,3,12,50,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Tests\Scene,1,344,218,115,6,43,0,83,304,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Tests\Scene\Core,1,344,218,115,6,43,0,83,304,0,0
